pi_time,motor_position,motor_speed,motor_current,motor_temperature
0.09527993202209473,0.14959965017094254,0.0,0.0,32
3.1046130657196045,0.0,0.0,0.0,31
3.1046130657196045,0.0,0.0,0.0,31
3.1253092288970947,0.0,-90.0,-0.05,31
3.1253092288970947,0.0,-90.0,-0.05,31
3.1448190212249756,0.0,180.0,-0.17,32
3.1448190212249756,0.0,180.0,-0.17,32
3.16469144821167,0.0,270.0,0.38,32
3.16469144821167,0.0,270.0,0.38,32
3.1846923828125,0.014959965017094255,1890.0,0.23,31
3.1846923828125,0.014959965017094255,1890.0,0.23,31
3.205009937286377,0.04487989505128277,1710.0,-0.19,32
3.205009937286377,0.04487989505128277,1710.0,-0.19,32
3.2251641750335693,0.04487989505128277,540.0,0.51,32
3.2251641750335693,0.04487989505128277,540.0,0.51,32
3.2455899715423584,0.07479982508547127,3690.0,-0.16,32
3.2455899715423584,0.07479982508547127,3690.0,-0.16,32
3.264885902404785,0.08975979010256555,720.0,0.47000000000000003,32
3.264885902404785,0.08975979010256555,720.0,0.47000000000000003,32
3.284921169281006,0.10471975511965978,3780.0,0.18,32
3.284921169281006,0.10471975511965978,3780.0,0.18,32
3.3057565689086914,0.11967972013675404,720.0,0.49,32
3.3057565689086914,0.11967972013675404,720.0,0.49,32
3.3252182006835938,0.1645596151880368,3870.0,0.07,31
3.3252182006835938,0.1645596151880368,3870.0,0.07,31
3.3473780155181885,0.1795195802051311,2700.0,0.02,31
3.3473780155181885,0.1795195802051311,2700.0,0.02,31
3.3647844791412354,0.19447954522222533,810.0,0.51,32
3.3647844791412354,0.19447954522222533,810.0,0.51,32
3.386176824569702,0.23935944027350808,4410.0,-0.02,32
3.386176824569702,0.23935944027350808,4410.0,-0.02,32
3.405308961868286,0.2543194052906023,2250.0,-0.27,31
3.405308961868286,0.2543194052906023,2250.0,-0.27,31
3.4259445667266846,0.2692793703076966,3330.0,0.23,31
3.4259445667266846,0.2692793703076966,3330.0,0.23,31
3.445329427719116,0.3141592653589793,3600.0,0.01,32
3.445329427719116,0.3141592653589793,3600.0,0.01,32
3.4647960662841797,0.3291192303760736,1800.0,0.37,32
3.4647960662841797,0.3291192303760736,1800.0,0.37,32
3.485039472579956,0.3590391604102622,3150.0,-0.24,32
3.485039472579956,0.3590391604102622,3150.0,-0.24,32
3.5049004554748535,0.38895909044445065,3690.0,0.22,32
3.5049004554748535,0.38895909044445065,3690.0,0.22,32
3.5248279571533203,0.4188790204786391,1800.0,0.32,32
3.5248279571533203,0.4188790204786391,1800.0,0.32,32
3.5451691150665283,0.4487989505128276,3780.0,-0.03,32
3.5451691150665283,0.4487989505128276,3780.0,-0.03,32
3.5654306411743164,0.4637589155299219,2250.0,0.28,32
3.5654306411743164,0.4637589155299219,2250.0,0.28,32
3.5848751068115234,0.4936788455641104,2340.0,0.25,32
3.5848751068115234,0.4936788455641104,2340.0,0.25,32
3.6053855419158936,0.5235987755982988,1530.0,0.41000000000000003,31
3.6053855419158936,0.5235987755982988,1530.0,0.41000000000000003,31
3.6249358654022217,0.5535187056324875,3870.0,-0.12,32
3.6249358654022217,0.5535187056324875,3870.0,-0.12,32
3.64497709274292,0.583438635666676,2970.0,-0.22,32
3.64497709274292,0.583438635666676,2970.0,-0.22,32
3.668647050857544,0.5983986006837702,720.0,0.5700000000000001,32
3.668647050857544,0.5983986006837702,720.0,0.5700000000000001,32
3.685598850250244,0.6283185307179586,4860.0,-0.01,32
3.685598850250244,0.6283185307179586,4860.0,-0.01,32
3.704934597015381,0.6582384607521472,2880.0,-0.14,32
3.704934597015381,0.6582384607521472,2880.0,-0.14,32
3.725229501724243,0.6731984257692414,3150.0,0.14,32
3.725229501724243,0.6731984257692414,3150.0,0.14,32
3.7447197437286377,0.70311835580343,1620.0,0.34,32
3.7447197437286377,0.70311835580343,1620.0,0.34,32
3.769141435623169,0.7330382858376184,3870.0,0.07,32
3.769141435623169,0.7330382858376184,3870.0,0.07,32
3.785518169403076,0.7479982508547127,810.0,0.54,32
3.785518169403076,0.7479982508547127,810.0,0.54,32
3.8072469234466553,0.7928781459059957,4230.0,-0.1,32
3.8254451751708984,0.7928781459059957,4230.0,-0.1,32
3.8254451751708984,0.8078381109230898,3060.0,0.17,32
3.8254451751708984,0.8078381109230898,3060.0,0.17,32
3.8452537059783936,0.8377580409572782,1800.0,-0.4,32
3.8452537059783936,0.8377580409572782,1800.0,-0.4,32
3.864783763885498,0.8527180059743724,2340.0,0.34,32
3.864783763885498,0.8527180059743724,2340.0,0.34,32
3.8847365379333496,0.882637936008561,2520.0,0.14,32
3.8847365379333496,0.882637936008561,2520.0,0.14,32
3.9050307273864746,0.8975979010256552,450.0,0.5700000000000001,31
3.9253714084625244,0.8975979010256552,450.0,0.5700000000000001,31
3.9253714084625244,0.9275178310598438,4860.0,0.14,31
3.9253714084625244,0.9275178310598438,4860.0,0.14,31
3.9474453926086426,0.9574377610940323,2610.0,0.01,31
3.9474453926086426,0.9574377610940323,2610.0,0.01,31
3.964867115020752,0.9574377610940323,990.0,0.42,32
3.9859414100646973,0.9574377610940323,990.0,0.42,32
3.9859414100646973,1.002317656145315,3420.0,-0.05,32
3.9859414100646973,1.002317656145315,3420.0,-0.05,32
4.005232334136963,1.002317656145315,1350.0,0.41000000000000003,32
4.005232334136963,1.002317656145315,1350.0,0.41000000000000003,32
4.025186061859131,1.0471975511965976,2970.0,-0.15,32
4.025186061859131,1.0471975511965976,2970.0,-0.15,32
4.045300245285034,1.0471975511965976,1260.0,0.42,32
4.045300245285034,1.0471975511965976,1260.0,0.42,32
4.065372943878174,1.0920774462478806,2520.0,-0.23,32
4.065372943878174,1.0920774462478806,2520.0,-0.23,32
