pi_time,motor_position,motor_speed,motor_current,motor_temperature
1.706695795059204,0.0,0.0,0.0,32
1.8072707653045654,0.0,0.0,-0.07,32
1.9070632457733154,0.0,0.0,-0.06,32
2.0074338912963867,0.0,90.0,-0.05,32
2.1072134971618652,0.0,0.0,-0.07,32
2.2071094512939453,0.0,0.0,-0.05,32
2.307102918624878,0.0,0.0,-0.08,32
2.4070401191711426,0.0,0.0,-0.07,32
2.5086283683776855,0.0,0.0,-0.06,32
2.6072020530700684,0.0,0.0,-0.07,32
2.7088782787323,0.0,0.0,-0.04,32
2.8072612285614014,0.0,0.0,-0.07,32
2.907043218612671,0.0,90.0,-0.11,32
3.007155656814575,0.0,0.0,-0.06,32
3.1070175170898438,0.0,0.0,-0.06,32
3.2070348262786865,0.0,0.0,-0.06,32
3.309086799621582,0.0,0.0,-0.08,32
3.4077441692352295,0.0,0.0,-0.05,32
3.5073225498199463,0.0,0.0,-0.09,32
3.607534170150757,0.0,0.0,-0.06,32
3.707235336303711,0.0,0.0,-0.08,32
3.8071911334991455,0.0,0.0,-0.05,32
3.907684564590454,0.0,0.0,-0.08,32
4.007108688354492,0.0,0.0,-0.06,32
4.107156753540039,0.0,0.0,-0.03,32
4.207473278045654,0.0,0.0,-0.02,32
4.307523488998413,0.0,0.0,-0.07,32
4.40767240524292,0.0,0.0,-0.05,32
4.507274866104126,0.0,0.0,-0.07,32
4.609996795654297,0.0,0.0,-0.08,32
4.707624912261963,0.0,90.0,-0.05,32
4.807382106781006,0.0,0.0,-0.11,32
4.908376693725586,0.0,0.0,-0.09,32
5.007351636886597,0.0,0.0,-0.05,32
5.107334852218628,0.0,0.0,-0.08,32
5.207644939422607,0.0,0.0,-0.08,32
5.307316064834595,0.0,0.0,-0.09,32
5.4090869426727295,0.0,0.0,-0.08,32
5.507101774215698,0.0,0.0,-0.09,32
5.607454776763916,0.0,0.0,-0.07,32
5.707186222076416,0.0,0.0,-0.05,32
5.807669401168823,0.0,0.0,-0.09,32
5.90725564956665,0.0,0.0,-0.07,32
6.008220911026001,0.0,0.0,-0.07,32
6.10718560218811,0.0,0.0,-0.08,32
6.207196235656738,0.0,0.0,-0.08,32
6.307044506072998,0.0,0.0,-0.08,32
6.40705418586731,0.0,0.0,-0.14,32
6.5071611404418945,0.0,0.0,-0.12,32
6.607265472412109,0.0,0.0,-0.08,32
6.707052946090698,0.0,0.0,-0.06,32
6.80714225769043,0.0,0.0,-0.06,32
6.90721321105957,0.0,0.0,-0.07,32
7.007290840148926,0.0,0.0,-0.05,32
7.107109308242798,0.0,0.0,-0.1,32
7.213195323944092,0.0,0.0,-0.05,32
7.309096097946167,0.0,0.0,-0.09,32
7.408261299133301,0.0,0.0,-0.07,32
7.506984710693359,0.0,0.0,-0.08,32
7.607029438018799,0.0,0.0,-0.09,32
7.707044839859009,0.0,0.0,-0.05,32
7.807087182998657,0.0,0.0,-0.08,32
7.906968832015991,0.0,0.0,-0.09,32
8.00702691078186,0.0,0.0,-0.06,32
8.107181310653687,0.0,0.0,-0.07,32
8.207183361053467,0.0,0.0,-0.06,32
8.307085990905762,0.0,0.0,-0.08,32
8.408911943435669,0.0,0.0,-0.06,32
8.507195711135864,0.0,0.0,-0.07,32
8.607108116149902,0.0,0.0,-0.06,32
8.708621978759766,0.0,0.0,-0.06,32
8.807624101638794,0.0,0.0,-0.09,32
8.90912938117981,0.0,0.0,-0.03,32
9.00705361366272,0.0,90.0,-0.04,32
9.113544702529907,0.0,0.0,-0.05,32
9.20706033706665,0.0,0.0,-0.05,32
9.306969404220581,0.0,0.0,-0.07,32
9.413667678833008,0.0,0.0,-0.09,32
9.506967544555664,0.0,0.0,-0.07,32
9.606965780258179,0.0,0.0,-0.08,32
9.707073450088501,0.0,0.0,-0.04,32
9.808443307876587,0.0,0.0,-0.09,32
9.90934157371521,0.0,0.0,-0.06,32
10.007896423339844,0.0,0.0,-0.07,32
10.107271909713745,0.0,0.0,-0.09,32
10.207210540771484,0.0,0.0,-0.06,32
10.307830095291138,0.0,0.0,-0.07,32
10.407056331634521,0.0,0.0,-0.04,32
10.506966352462769,0.0,-90.0,-0.07,32
10.606981992721558,0.0,0.0,-0.08,32
10.707032918930054,0.0,0.0,-0.06,32
10.806993007659912,0.0,0.0,-0.07,32
10.906960487365723,0.0,0.0,-0.08,32
11.006996631622314,0.0,0.0,-0.08,32
11.106959581375122,0.0,0.0,-0.1,32
11.206956386566162,0.0,0.0,-0.08,32
11.306966066360474,0.0,0.0,-0.07,32
11.407264947891235,0.0,0.0,-0.04,32
11.507021427154541,0.0,0.0,-0.09,32
11.607077598571777,0.0,0.0,-0.07,32
11.706995725631714,0.0,0.0,-0.07,32
11.807054042816162,0.0,0.0,-0.09,32
11.90913987159729,0.0,90.0,-0.04,32
12.007137537002563,0.0,90.0,-0.09,32
12.108657836914062,0.0,0.0,-0.06,32
12.20909833908081,0.0,0.0,-0.06,32
12.307371616363525,0.0,0.0,-0.02,32
12.407104969024658,0.0,0.0,-0.04,32
12.507096529006958,0.0,0.0,-0.08,32
12.607004404067993,0.0,0.0,-0.05,32
12.707014322280884,0.0,0.0,0.0,32
12.807573080062866,0.0,90.0,-0.08,32
12.907068490982056,0.0,0.0,-0.06,32
13.007351875305176,0.0,0.0,-0.07,32
13.106908082962036,0.0,0.0,-0.1,32
13.207579374313354,0.0,0.0,-0.06,32
13.308980703353882,0.0,0.0,-0.06,32
13.408595323562622,0.0,0.0,-0.09,32
13.507251501083374,0.0,0.0,-0.11,32
13.606966972351074,0.0,0.0,-0.05,32
13.708662748336792,0.0,0.0,-0.06,32
13.80688762664795,0.0,0.0,-0.07,32
13.909623384475708,0.0,0.0,-0.08,32
14.009804248809814,0.0,0.0,-0.06,32
14.106912612915039,0.0,0.0,-0.07,32
14.207402467727661,0.0,0.0,-0.03,32
14.30816912651062,0.0,0.0,-0.07,32
14.408916711807251,0.0,0.0,-0.07,32
14.507617473602295,0.0,0.0,-0.1,32
14.606873989105225,0.0,0.0,-0.06,32
14.707614660263062,0.0,0.0,-0.06,32
14.807297706604004,0.0,0.0,-0.06,32
14.907187461853027,0.0,0.0,-0.05,32
15.006912469863892,0.0,0.0,-0.06,32
15.106874704360962,0.0,0.0,-0.07,32
15.20719313621521,0.0,0.0,-0.05,32
15.307358741760254,0.0,0.0,-0.04,32
15.406993389129639,0.0,0.0,-0.09,32
15.506966352462769,0.0,0.0,-0.04,32
15.607148170471191,0.0,0.0,-0.08,32
15.706938028335571,0.0,0.0,-0.08,32
15.807021141052246,0.0,0.0,-0.07,32
15.907575368881226,0.0,0.0,-0.08,32
16.00969123840332,0.0,0.0,-0.05,32
16.106923818588257,0.0,0.0,-0.05,32
16.206963300704956,0.0,0.0,-0.04,32
16.30702805519104,0.0,0.0,-0.04,32
16.406935930252075,0.0,0.0,-0.06,32
16.5069899559021,0.0,0.0,-0.07,32
16.60710334777832,0.0,0.0,-0.06,32
16.707139492034912,0.0,0.0,-0.06,32
16.80953025817871,0.0,0.0,-0.06,32
16.909404277801514,0.0,0.0,-0.06,32
17.007461547851562,0.0,0.0,-0.05,32
17.106810569763184,0.0,0.0,-0.04,32
17.206862688064575,0.0,0.0,-0.05,32
17.308613538742065,0.0,0.0,-0.06,32
17.410030126571655,0.0,0.0,-0.06,32
17.506914615631104,0.0,0.0,-0.07,32
17.607016563415527,0.0,0.0,-0.07,32
17.706880569458008,0.0,0.0,-0.06,32
17.80696678161621,0.0,0.0,-0.06,32
17.909743785858154,0.0,0.0,-0.05,32
18.00911521911621,0.0,0.0,-0.06,32
18.107110738754272,0.0,0.0,-0.09,32
18.20682120323181,0.0,0.0,-0.04,32
18.306865453720093,0.0,0.0,-0.09,32
18.406992197036743,0.0,0.0,-0.07,32
18.507813692092896,0.0,0.0,-0.09,32
18.60786271095276,0.0,0.0,-0.07,32
18.707388401031494,0.0,0.0,-0.06,32
18.806835412979126,0.0,0.0,-0.09,32
18.906835794448853,0.0,0.0,-0.09,32
19.006892204284668,0.0,0.0,-0.07,32
19.106812000274658,0.0,0.0,-0.06,32
19.207226991653442,0.0,0.0,-0.05,32
19.306859731674194,0.0,0.0,-0.05,32
19.40706777572632,0.0,0.0,-0.08,32
19.508318424224854,0.0,0.0,-0.08,32
19.606932878494263,0.0,0.0,-0.06,32
19.707058429718018,0.0,0.0,-0.06,32
19.807474851608276,0.0,0.0,-0.05,32
19.90674924850464,0.0,0.0,-0.07,32
20.007757425308228,0.0,0.0,-0.06,32
20.10886287689209,0.0,0.0,-0.06,32
20.209794759750366,0.0,0.0,-0.06,32
20.30701184272766,0.0,0.0,-0.05,32
20.409043788909912,0.0,0.0,-0.07,32
20.507030963897705,0.0,0.0,-0.05,32
20.607473850250244,0.0,0.0,-0.04,32
20.706841707229614,0.0,0.0,-0.04,32
20.807510137557983,0.0,0.0,-0.06,32
20.906910181045532,0.0,0.0,-0.04,32
21.007745027542114,0.0,0.0,-0.06,32
21.106869220733643,0.0,0.0,-0.06,32
21.20698380470276,0.0,0.0,-0.05,32
21.3081955909729,0.0,0.0,-0.08,32
21.40916132926941,0.0,0.0,-0.08,32
21.50916838645935,0.0,0.0,-0.05,32
21.606837034225464,0.0,0.0,-0.05,32
21.70908784866333,0.0,0.0,-0.07,32
21.806833505630493,0.0,0.0,-0.07,32
21.90681481361389,0.0,0.0,-0.09,32
22.0067880153656,0.0,0.0,-0.07,32
22.10679030418396,0.0,0.0,-0.11,32
22.20683217048645,0.0,0.0,-0.05,32
22.307360649108887,0.0,0.0,-0.05,32
22.406762838363647,0.0,0.0,-0.06,32
22.506805658340454,0.0,0.0,-0.08,32
22.609175205230713,0.0,0.0,-0.07,32
22.706928730010986,0.0,0.0,-0.03,32
22.806788444519043,0.0,0.0,-0.09,32
22.907093048095703,0.0,0.0,-0.05,32
23.01308274269104,0.0,0.0,-0.07,32
23.10681676864624,0.0,0.0,-0.08,32
23.206846475601196,0.0,0.0,-0.09,32
23.30750346183777,0.0,0.0,-0.06,32
23.406949281692505,0.0,0.0,-0.04,32
23.508787870407104,0.0,0.0,-0.03,32
23.60926365852356,0.0,0.0,-0.06,32
23.706682682037354,0.0,90.0,-0.03,32
23.806833267211914,0.0,0.0,-0.07,32
23.909021615982056,0.0,0.0,-0.03,32
24.006911277770996,0.0,0.0,-0.03,32
24.10703945159912,0.0,0.0,-0.07,32
24.207842111587524,0.0,0.0,-0.06,32
24.307317972183228,0.0,0.0,-0.06,32
24.406864404678345,0.0,0.0,-0.07,32
24.509087562561035,0.0,0.0,-0.05,32
24.607155084609985,0.0,0.0,-0.07,32
24.7072434425354,0.0,0.0,-0.1,32
24.80905556678772,0.0,0.0,-0.05,32
24.907249927520752,0.0,0.0,-0.09,32
25.006818532943726,0.0,0.0,-0.04,32
25.107270002365112,0.0,0.0,-0.06,32
25.206727266311646,0.0,0.0,-0.07,32
25.306780576705933,0.0,0.0,-0.07,32
25.407074213027954,0.0,0.0,-0.05,32
25.5091814994812,0.0,0.0,-0.06,32
25.607025623321533,0.0,0.0,-0.13,32
25.706730842590332,0.0,0.0,-0.04,32
25.806787490844727,0.0,0.0,-0.05,32
25.906859397888184,0.0,0.0,-0.06,32
26.006948709487915,0.0,-90.0,-0.06,32
26.108070135116577,0.0,0.0,-0.08,32
26.20672345161438,0.0,0.0,-0.06,32
26.306878566741943,0.0,0.0,-0.08,32
26.408031463623047,0.0,0.0,-0.07,32
26.507232427597046,0.0,0.0,-0.07,32
26.609511852264404,0.0,0.0,-0.08,32
26.706894159317017,0.0,0.0,-0.08,32
26.809165477752686,0.0,0.0,-0.04,32
26.9076030254364,0.0,0.0,-0.05,32
27.00678062438965,0.0,0.0,-0.1,32
27.107110500335693,0.0,0.0,-0.06,32
27.209929943084717,0.0,-90.0,-0.06,32
27.30699634552002,0.0,0.0,-0.04,32
27.406718969345093,0.0,0.0,-0.07,32
27.50671410560608,0.0,0.0,-0.05,32
27.606748819351196,0.0,0.0,-0.05,32
27.70665431022644,0.0,0.0,-0.07,32
27.807329893112183,0.0,0.0,-0.06,32
27.90725803375244,0.0,0.0,-0.08,32
28.00670599937439,0.0,0.0,-0.06,32
28.106767892837524,0.0,0.0,-0.08,32
